address,distance,review_count,ratings,chain,city,lat,long
1,41.339272673806015,2.0,4.0,1,4,37.32229,-121.82405
1,34.90491491013428,2.0,4.0,1,4,37.4041770427227,-121.881933087311
2,42.44048843652053,1.0,4.0,1,4,37.3088546673824,-121.813202547221
6,35.787238748355165,3.0,4.5,7,3,37.32258,-122.03121000000002
1,38.64034619823924,2.0,4.0,1,4,37.335455,-121.886596
1,41.41662550065449,2.0,4.0,1,4,37.3191772792232,-121.827041554833
2,36.16624889436992,1.0,4.0,15,3,37.34866,-121.94616
2,38.016932449104814,1.0,4.0,1,4,37.3697020772431,-121.845367355225
1,46.82846227389389,1.0,3.5,1,4,37.236431,-121.804763
1,36.56439913050238,1.0,4.0,1,4,37.3879799,-121.8588819
1,42.11606381179256,1.0,4.0,1,4,37.29956,-121.84016
1,37.89888277728564,3.0,3.5,4,4,37.319475621662,-121.94762103391
1,36.66599427152673,1.0,3.5,1,3,37.3112882127292,-122.023623995483
1,42.67810202644218,2.0,3.5,2,4,37.306154683674,-121.810519318524
2,42.44370386732229,1.0,4.0,1,4,37.308647155761705,-121.813461303711
1,43.92736971970405,1.0,4.0,1,4,37.2497081431029,-121.879286774857
1,35.65200846567929,2.0,3.5,8,4,37.38753,-121.88725
2,39.768879714188,4.0,4.5,1,4,37.33133611473671,-121.857381949738
2,35.793011110922905,2.0,3.5,15,4,37.387508,-121.882934
1,38.61097708636916,2.0,3.5,8,4,37.2923420099239,-121.988744415864
2,42.38861168869153,1.0,4.0,2,4,37.3090745900201,-121.814426575475
1,42.51067460374823,1.0,4.0,1,4,37.309508,-121.809918
2,37.86486351498744,1.0,4.0,1,4,37.3720189850199,-121.846125258572
1,35.480238300884466,2.0,3.5,1,3,37.3459400429099,-121.979151964188
1,41.17792019104896,2.0,4.0,6,4,37.303037478251206,-121.864601250072
1,41.365408314308965,1.0,3.5,3,4,37.3210352284759,-121.825406030688
1,35.947893923424715,3.0,4.5,1,2,38.32387,-122.30711
4,34.196547673732525,1.0,3.5,1,2,38.2991692041736,-122.285283794503
4,34.024380442034726,9.0,4.0,1,2,38.29671,-122.28328
2,34.17489909492755,2.0,3.0,1,2,38.2988340542314,-122.286458685994
2,25.20894272368445,1.0,3.5,1,2,38.1689755277082,-122.254305819574
1,26.308848757048697,1.0,2.5,25,2,38.1848877668381,-122.253697514534
1,35.1557532240489,1.0,3.5,1,1,38.2914143800735,-122.45805837214
4,26.03852892365928,1.0,2.5,1,2,38.18098,-122.25395
5,23.769637788810297,1.0,4.0,1,3,38.148088261589706,-122.252996214118
1,29.249649868903493,2.0,4.5,1,3,38.215523,-122.143181
1,29.92618667727361,1.0,3.5,1,3,38.2219399,-122.12513
2,25.29042555648168,1.0,3.5,1,2,38.17015,-122.25411
0,72.99136488253708,1.0,3.5,1,1,38.67463,-121.50861
2,22.890404236155703,3.0,4.0,1,3,37.69838055066379,-121.874124370515
1,22.72513015103397,1.0,4.5,1,3,37.658818,-121.898176
1,23.2154210050778,1.0,4.0,1,4,37.703198955631706,-121.865862095172
1,21.598226468172232,1.0,3.5,1,3,37.69288,-121.90177
4,23.705172831333552,1.0,4.0,16,3,37.6659099,-121.87418
2,23.96990335094871,2.0,3.5,18,4,37.7038018033117,-121.851168151661
1,18.8560925689209,1.0,4.0,1,4,37.7222341,-121.9419009
4,23.791028878001452,1.0,4.0,3,3,37.661346,-121.87506
1,19.864463977695955,1.0,4.0,15,4,37.7103899,-121.92744
2,19.66763318695347,2.0,3.5,2,4,37.703959000000005,-121.9342246
1,20.126674860343773,1.0,3.5,25,3,37.695654440550896,-121.929317861795
2,22.909095933308706,1.0,2.5,1,3,37.69956,-121.87326000000002
2,22.868087575478068,1.0,3.0,1,3,37.69948196411129,-121.874084472656
1,22.89968327329285,1.0,4.0,1,3,37.6905054,-121.8774678
1,19.31791457974519,1.0,3.5,18,2,37.73021,-121.93009
