id,cleaned_id
399.0,2.0
336.0,1.0
127.0,1.0
72.0,1.0
91.0,1.0
369.0,1.0
629.0,2.0
88.0,1.0
251.0,1.0
178.0,1.0
825.0,3.0
238.0,1.0
234.0,1.0
80.0,1.0
104.0,1.0
456.0,2.0
61.0,1.0
316.0,1.0
216.0,1.0
513.0,2.0
65.0,1.0
13.0,1.0
224.0,1.0
75.0,1.0
240.0,1.0
153.0,1.0
668.0,2.0
357.0,1.0
232.0,1.0
16.0,1.0
338.0,1.0
372.0,1.0
406.0,2.0
101.0,1.0
264.0,1.0
91.0,1.0
738.0,2.0
44.0,1.0
1290.0,4.0
126.0,1.0
367.0,1.0
605.0,2.0
1642.0,5.0
2.0,1.0
401.0,2.0
229.0,1.0
533.0,2.0
388.0,1.0
498.0,2.0
456.0,2.0
332.0,1.0
2725.0,7.0
293.0,1.0
276.0,1.0
1489.0,4.0
176.0,1.0
807.0,3.0
370.0,1.0
502.0,2.0
61.0,1.0
108.0,1.0
138.0,1.0
128.0,1.0
168.0,1.0
202.0,1.0
781.0,2.0
470.0,2.0
458.0,2.0
1094.0,3.0
610.0,2.0
473.0,2.0
141.0,1.0
98.0,1.0
143.0,1.0
223.0,1.0
221.0,1.0
356.0,1.0
730.0,2.0
1162.0,3.0
860.0,3.0
349.0,1.0
174.0,1.0
1004.0,3.0
1236.0,4.0
233.0,1.0
229.0,1.0
332.0,1.0
309.0,1.0
141.0,1.0
915.0,3.0
124.0,1.0
264.0,1.0
165.0,1.0
47.0,1.0
127.0,1.0
256.0,1.0
255.0,1.0
278.0,1.0
322.0,1.0
177.0,1.0
1127.0,3.0
136.0,1.0
1025.0,3.0
1302.0,4.0
407.0,2.0
419.0,2.0
66.0,1.0
604.0,2.0
69.0,1.0
171.0,1.0
165.0,1.0
425.0,2.0
471.0,2.0
173.0,1.0
305.0,1.0
328.0,1.0
151.0,1.0
70.0,1.0
136.0,1.0
375.0,1.0
190.0,1.0
446.0,2.0
133.0,1.0
111.0,1.0
177.0,1.0
147.0,1.0
16.0,1.0
250.0,1.0
268.0,1.0
323.0,1.0
160.0,1.0
369.0,1.0
416.0,2.0
448.0,2.0
153.0,1.0
517.0,2.0
383.0,1.0
459.0,2.0
64.0,1.0
259.0,1.0
301.0,1.0
377.0,1.0
456.0,2.0
104.0,1.0
300.0,1.0
331.0,1.0
141.0,1.0
127.0,1.0
,
371.0,1.0
434.0,2.0
714.0,2.0
14.0,1.0
240.0,1.0
485.0,2.0
752.0,2.0
265.0,1.0
81.0,1.0
173.0,1.0
99.0,1.0
109.0,1.0
189.0,1.0
127.0,1.0
352.0,1.0
381.0,1.0
370.0,1.0
757.0,2.0
370.0,1.0
118.0,1.0
1484.0,4.0
158.0,1.0
1338.0,4.0
1221.0,4.0
160.0,1.0
228.0,1.0
97.0,1.0
224.0,1.0
72.0,1.0
158.0,1.0
990.0,3.0
119.0,1.0
243.0,1.0
36.0,1.0
48.0,1.0
147.0,1.0
805.0,3.0
145.0,1.0
511.0,2.0
338.0,1.0
269.0,1.0
84.0,1.0
558.0,2.0
391.0,1.0
412.0,2.0
279.0,1.0
94.0,1.0
1027.0,3.0
239.0,1.0
172.0,1.0
593.0,2.0
127.0,1.0
654.0,2.0
900.0,3.0
461.0,2.0
299.0,1.0
694.0,2.0
522.0,2.0
470.0,2.0
387.0,1.0
113.0,1.0
197.0,1.0
308.0,1.0
124.0,1.0
106.0,1.0
571.0,2.0
304.0,1.0
275.0,1.0
124.0,1.0
548.0,2.0
331.0,1.0
172.0,1.0
321.0,1.0
94.0,1.0
313.0,1.0
263.0,1.0
263.0,1.0
104.0,1.0
175.0,1.0
790.0,3.0
666.0,2.0
141.0,1.0
230.0,1.0
170.0,1.0
58.0,1.0
863.0,3.0
80.0,1.0
102.0,1.0
370.0,1.0
486.0,2.0
663.0,2.0
123.0,1.0
16.0,1.0
1022.0,3.0
544.0,2.0
76.0,1.0
612.0,2.0
3936.0,10.0
27.0,1.0
111.0,1.0
324.0,1.0
668.0,2.0
126.0,1.0
84.0,1.0
137.0,1.0
525.0,2.0
204.0,1.0
230.0,1.0
310.0,1.0
163.0,1.0
502.0,2.0
255.0,1.0
679.0,2.0
154.0,1.0
503.0,2.0
146.0,1.0
118.0,1.0
285.0,1.0
588.0,2.0
475.0,2.0
179.0,1.0
1.0,1.0
123.0,1.0
129.0,1.0
158.0,1.0
58.0,1.0
106.0,1.0
138.0,1.0
181.0,1.0
521.0,2.0
57.0,1.0
167.0,1.0
217.0,1.0
210.0,1.0
227.0,1.0
119.0,1.0
136.0,1.0
172.0,1.0
90.0,1.0
165.0,1.0
161.0,1.0
24.0,1.0
527.0,2.0
463.0,2.0
232.0,1.0
295.0,1.0
254.0,1.0
42.0,1.0
74.0,1.0
287.0,1.0
124.0,1.0
108.0,1.0
122.0,1.0
318.0,1.0
50.0,1.0
392.0,1.0
224.0,1.0
669.0,2.0
63.0,1.0
824.0,3.0
349.0,1.0
220.0,1.0
1064.0,3.0
238.0,1.0
524.0,2.0
479.0,2.0
1182.0,4.0
272.0,1.0
383.0,1.0
29.0,1.0
350.0,1.0
130.0,1.0
48.0,1.0
50.0,1.0
3.0,1.0
273.0,1.0
878.0,3.0
221.0,1.0
312.0,1.0
172.0,1.0
88.0,1.0
182.0,1.0
219.0,1.0
113.0,1.0
259.0,1.0
203.0,1.0
220.0,1.0
152.0,1.0
75.0,1.0
43.0,1.0
173.0,1.0
416.0,2.0
147.0,1.0
147.0,1.0
600.0,2.0
156.0,1.0
31.0,1.0
106.0,1.0
316.0,1.0
18.0,1.0
249.0,1.0
165.0,1.0
295.0,1.0
320.0,1.0
14.0,1.0
201.0,1.0
456.0,2.0
27.0,1.0
390.0,1.0
282.0,1.0
141.0,1.0
62.0,1.0
260.0,1.0
158.0,1.0
207.0,1.0
317.0,1.0
92.0,1.0
504.0,2.0
644.0,2.0
69.0,1.0
291.0,1.0
823.0,3.0
102.0,1.0
174.0,1.0
199.0,1.0
195.0,1.0
107.0,1.0
460.0,2.0
184.0,1.0
488.0,2.0
354.0,1.0
191.0,1.0
295.0,1.0
1133.0,3.0
216.0,1.0
179.0,1.0
579.0,2.0
739.0,2.0
123.0,1.0
104.0,1.0
275.0,1.0
174.0,1.0
284.0,1.0
293.0,1.0
63.0,1.0
295.0,1.0
410.0,2.0
536.0,2.0
215.0,1.0
72.0,1.0
201.0,1.0
440.0,2.0
170.0,1.0
29.0,1.0
513.0,2.0
203.0,1.0
1254.0,4.0
367.0,1.0
190.0,1.0
305.0,1.0
406.0,2.0
187.0,1.0
178.0,1.0
472.0,2.0
67.0,1.0
172.0,1.0
78.0,1.0
127.0,1.0
76.0,1.0
